"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"109" "E3_3" "E3" "37E_20D_Bd" 3 0.137 "T0" 0 "9" "Bd" "37E_20D" 0.124 0.00221108319357027 0.013
"110" "E4_3" "E4" "37E_20D_Bd" 3 0.133 "T0" 0 "10" "Bd" "37E_20D" 0.124 0.00221108319357027 0.00900000000000001
"111" "E7_3" "E7" "37E_2F_Bd" 3 0.12 "T0" 0 "9" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.00749999999999999
"112" "E8_3" "E8" "37E_2F_Bd" 3 0.117 "T0" 0 "10" "Bd" "37E_2F" 0.1125 0.00250554939639549 0.0045
"113" "E11_3" "E11" "37E_54D_Bd" 3 0.154 "T0" 0 "9" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0262
"114" "E12_3" "E12" "37E_54D_Bd" 3 0.154 "T0" 0 "10" "Bd" "37E_54D" 0.1278 0.00175119007154183 0.0262
"115" "F11_3" "F11" "Live_Bd" 3 0.171 "T0" 0 "1" "Bd" "Control" 0.1598 0.0147105404387466 0.0112
"116" "F12_3" "F12" "Live_Bd" 3 0.167 "T0" 0 "2" "Bd" "Control" 0.1598 0.0147105404387466 0.00720000000000001
"117" "G1_3" "G1" "37E_Jliv10_Bd" 3 0.149 "T0" 0 "1" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0289
"118" "G2_3" "G2" "37E_Jliv10_Bd" 3 0.136 "T0" 0 "3" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0159
"119" "G3_3" "G3" "37E_Jliv10_Bd" 3 0.135 "T0" 0 "4" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0149
"120" "G4_3" "G4" "37E_Jliv10_Bd" 3 0.136 "T0" 0 "5" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0159
"121" "G5_3" "G5" "37E_Jliv10_Bd" 3 0.139 "T0" 0 "6" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0189
"122" "G6_3" "G6" "37E_Jliv10_Bd" 3 0.136 "T0" 0 "7" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0159
"123" "G7_3" "G7" "37E_Jliv10_Bd" 3 0.144 "T0" 0 "8" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0239
"124" "G8_3" "G8" "37E_Jliv10_Bd" 3 0.153 "T0" 0 "9" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0329
"125" "G9_3" "G9" "37E_Jliv10_Bd" 3 0.149 "T0" 0 "10" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0289
"126" "G10_3" "G10" "37E_Jliv10_Bd" 3 0.166 "T0" 0 "2" "Bd" "37E_Jliv10" 0.1201 0.00695141872010471 0.0459
"127" "A3_4" "A3" "37E_JlivBTP_Bd" 4 0.133 "T0" 0 "1" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0174
"128" "A4_4" "A4" "37E_JlivBTP_Bd" 4 0.136 "T0" 0 "2" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0204
"129" "A7_4" "A7" "54D_Bd" 4 0.144 "T0" 0 "1" "Bd" "54D" 0.1319 0.00328125992061993 0.0121
"130" "A8_4" "A8" "54D_Bd" 4 0.146 "T0" 0 "2" "Bd" "54D" 0.1319 0.00328125992061993 0.0141
"131" "A11_4" "A11" "54D_20D_Bd" 4 0.15 "T0" 0 "1" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.0124
"132" "A12_4" "A12" "54D_20D_Bd" 4 0.151 "T0" 0 "2" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.0134
"133" "B3_4" "B3" "37E_JlivBTP_Bd" 4 0.131 "T0" 0 "3" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0154
"134" "B4_4" "B4" "37E_JlivBTP_Bd" 4 0.135 "T0" 0 "4" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0194
"135" "B7_4" "B7" "54D_Bd" 4 0.148 "T0" 0 "3" "Bd" "54D" 0.1319 0.00328125992061993 0.0161
"136" "B8_4" "B8" "54D_Bd" 4 0.145 "T0" 0 "4" "Bd" "54D" 0.1319 0.00328125992061993 0.0131
"137" "B11_4" "B11" "54D_20D_Bd" 4 0.15 "T0" 0 "3" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.0124
"138" "B12_4" "B12" "54D_20D_Bd" 4 0.149 "T0" 0 "4" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.0114
"139" "C3_4" "C3" "37E_JlivBTP_Bd" 4 0.132 "T0" 0 "5" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0164
"140" "C4_4" "C4" "37E_JlivBTP_Bd" 4 0.133 "T0" 0 "6" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0174
