"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"63" "D7_2" "D7" "2F_Jliv10_Bd" 2 0.236 "T0" 0 "7" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.1237
"64" "D8_2" "D8" "2F_Jliv10_Bd" 2 0.143 "T0" 0 "8" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0307
"65" "D11_2" "D11" "2f_JlivBTP_Bd" 2 0.149 "T0" 0 "7" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0178
"66" "D12_2" "D12" "2f_JlivBTP_Bd" 2 0.141 "T0" 0 "8" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.00979999999999998
"67" "E3_2" "E3" "2F_Bd" 2 0.142 "T0" 0 "9" "Bd" "2F" 0.1323 0.00149443411809733 0.00969999999999999
"68" "E4_2" "E4" "2F_Bd" 2 0.141 "T0" 0 "10" "Bd" "2F" 0.1323 0.00149443411809733 0.00869999999999999
"69" "E7_2" "E7" "2F_Jliv10_Bd" 2 0.145 "T0" 0 "9" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0327
"70" "E8_2" "E8" "2F_Jliv10_Bd" 2 0.146 "T0" 0 "10" "Bd" "2F_Jliv10" 0.1123 0.00279085809185793 0.0337
"71" "E11_2" "E11" "2f_JlivBTP_Bd" 2 0.144 "T0" 0 "9" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0128
"72" "E12_2" "E12" "2f_JlivBTP_Bd" 2 0.149 "T0" 0 "10" "Bd" "2f_JlivBTP" 0.1312 0.00605162971621878 0.0178
"73" "G1_2" "G1" "37E_Bd" 2 0.105 "T0" 0 "1" "Bd" "37E" 0.1103 0.00788881064123948 -0.0053
"74" "G2_2" "G2" "37E_Bd" 2 0.103 "T0" 0 "3" "Bd" "37E" 0.1103 0.00788881064123948 -0.0073
"75" "G3_2" "G3" "37E_Bd" 2 0.101 "T0" 0 "4" "Bd" "37E" 0.1103 0.00788881064123948 -0.00929999999999999
"76" "G4_2" "G4" "37E_Bd" 2 0.106 "T0" 0 "5" "Bd" "37E" 0.1103 0.00788881064123948 -0.0043
"77" "G5_2" "G5" "37E_Bd" 2 0.116 "T0" 0 "6" "Bd" "37E" 0.1103 0.00788881064123948 0.00570000000000001
"78" "G6_2" "G6" "37E_Bd" 2 0.117 "T0" 0 "7" "Bd" "37E" 0.1103 0.00788881064123948 0.00670000000000001
"79" "G7_2" "G7" "37E_Bd" 2 0.118 "T0" 0 "8" "Bd" "37E" 0.1103 0.00788881064123948 0.0077
"80" "G8_2" "G8" "37E_Bd" 2 0.121 "T0" 0 "9" "Bd" "37E" 0.1103 0.00788881064123948 0.0107
"81" "G9_2" "G9" "37E_Bd" 2 0.123 "T0" 0 "10" "Bd" "37E" 0.1103 0.00788881064123948 0.0127
"82" "G10_2" "G10" "37E_Bd" 2 0.128 "T0" 0 "2" "Bd" "37E" 0.1103 0.00788881064123948 0.0177
"83" "G11_2" "G11" "Live_Bd" 2 0.129 "T0" 0 "3" "Bd" "Control" 0.1417 0.00988882646671933 -0.0127
"84" "G12_2" "G12" "Live_Bd" 2 0.13 "T0" 0 "5" "Bd" "Control" 0.1417 0.00988882646671933 -0.0117
"85" "A3_3" "A3" "37E_20D_Bd" 3 0.139 "T0" 0 "1" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.0038
"86" "A4_3" "A4" "37E_20D_Bd" 3 0.136 "T0" 0 "2" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.000799999999999995
"87" "A7_3" "A7" "37E_2F_Bd" 3 0.13 "T0" 0 "1" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00390000000000001
"88" "A8_3" "A8" "37E_2F_Bd" 3 0.134 "T0" 0 "2" "Bd" "37E_2F" 0.1339 0.00428044649799787 9.9999999999989e-05
"89" "A11_3" "A11" "37E_54D_Bd" 3 0.146 "T0" 0 "1" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00589999999999999
"90" "A12_3" "A12" "37E_54D_Bd" 3 0.145 "T0" 0 "2" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00489999999999999
"91" "B3_3" "B3" "37E_20D_Bd" 3 0.138 "T0" 0 "3" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.0028
"92" "B4_3" "B4" "37E_20D_Bd" 3 0.136 "T0" 0 "4" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.000799999999999995
"93" "B7_3" "B7" "37E_2F_Bd" 3 0.133 "T0" 0 "3" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.000900000000000012
"94" "B8_3" "B8" "37E_2F_Bd" 3 0.132 "T0" 0 "4" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00190000000000001
"95" "B11_3" "B11" "37E_54D_Bd" 3 0.145 "T0" 0 "3" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00489999999999999
"96" "B12_3" "B12" "37E_54D_Bd" 3 0.151 "T0" 0 "4" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.0109
