"sampleID" "Replicate_trial" "Rep" "OD" "HoursElapsed" "OD_adj"
"65" "2F" "2F_1" "1" 0.461 48 0.461
"66" "2F" "2F_2" "2" -0.068 0 -0.068
"67" "2F" "2F_2" "2" 0.179 12 0.179
"68" "2F" "2F_2" "2" 0.156 24 0.156
"69" "2F" "2F_2" "2" 0.314 36 0.314
"70" "2F" "2F_2" "2" 0.566 48 0.566
"71" "2F" "2F_3" "3" -0.086 0 -0.086
"72" "2F" "2F_3" "3" 0.178 12 0.178
"73" "2F" "2F_3" "3" 0.209 24 0.209
"74" "2F" "2F_3" "3" 0.306 36 0.306
"75" "2F" "2F_3" "3" 0.376 48 0.376
"76" "2F_Jliv10" "2F_Jliv10_1" "1" 0.037 0 0.037
"77" "2F_Jliv10" "2F_Jliv10_1" "1" 0.096 12 0.096
"78" "2F_Jliv10" "2F_Jliv10_1" "1" 0.371 24 0.371
"79" "2F_Jliv10" "2F_Jliv10_1" "1" 0.851 36 0.851
"80" "2F_Jliv10" "2F_Jliv10_1" "1" 0.585 48 0.585
"81" "2F_Jliv10" "2F_Jliv10_2" "2" 0 0 0
"82" "2F_Jliv10" "2F_Jliv10_2" "2" 0.115 12 0.115
"83" "2F_Jliv10" "2F_Jliv10_2" "2" 0.398 24 0.398
"84" "2F_Jliv10" "2F_Jliv10_2" "2" 0.393 36 0.393
"85" "2F_Jliv10" "2F_Jliv10_2" "2" 0.797 48 0.797
"86" "2F_Jliv10" "2F_Jliv10_3" "3" 0.006 0 0.006
"87" "2F_Jliv10" "2F_Jliv10_3" "3" 0.102 12 0.102
"88" "2F_Jliv10" "2F_Jliv10_3" "3" 0.373 24 0.373
"89" "2F_Jliv10" "2F_Jliv10_3" "3" 0.366 36 0.366
"90" "2F_Jliv10" "2F_Jliv10_3" "3" 0.64 48 0.64
"91" "2f_JlivBTP" "2f_JlivBTP_1" "1" 0.006 0 0.006
"92" "2f_JlivBTP" "2f_JlivBTP_1" "1" 0.195 12 0.195
"93" "2f_JlivBTP" "2f_JlivBTP_1" "1" 0.414 24 0.414
"94" "2f_JlivBTP" "2f_JlivBTP_1" "1" 0.378 36 0.378
"95" "2f_JlivBTP" "2f_JlivBTP_1" "1" 0.516 48 0.516
"96" "2f_JlivBTP" "2f_JlivBTP_2" "2" 0.015 0 0.015
"97" "2f_JlivBTP" "2f_JlivBTP_2" "2" 0.158 12 0.158
"98" "2f_JlivBTP" "2f_JlivBTP_2" "2" 0.392 24 0.392
"99" "2f_JlivBTP" "2f_JlivBTP_2" "2" 0.309 36 0.309
"100" "2f_JlivBTP" "2f_JlivBTP_2" "2" 0.488 48 0.488
"101" "2f_JlivBTP" "2f_JlivBTP_3" "3" 0.014 0 0.014
"102" "2f_JlivBTP" "2f_JlivBTP_3" "3" 0.128 12 0.128
"103" "2f_JlivBTP" "2f_JlivBTP_3" "3" 0.417 24 0.417
"104" "2f_JlivBTP" "2f_JlivBTP_3" "3" 0.36 36 0.36
"105" "2f_JlivBTP" "2f_JlivBTP_3" "3" 0.658 48 0.658
"106" "37E" "37E_1" "1" -0.009 0 -0.009
"107" "37E" "37E_1" "1" 0.201 12 0.201
"108" "37E" "37E_1" "1" 0.32 24 0.32
"109" "37E" "37E_1" "1" 0.415 36 0.415
"110" "37E" "37E_1" "1" 0.444 48 0.444
"111" "37E" "37E_2" "2" -0.125 0 -0.125
"112" "37E" "37E_2" "2" 0.284 12 0.284
"113" "37E" "37E_2" "2" 0.437 24 0.437
"114" "37E" "37E_2" "2" 0.53 36 0.53
"115" "37E" "37E_2" "2" 0.422 48 0.422
"116" "37E" "37E_3" "3" -0.012 0 -0.012
"117" "37E" "37E_3" "3" 0.209 12 0.209
"118" "37E" "37E_3" "3" 0.254 24 0.254
"119" "37E" "37E_3" "3" 0.478 36 0.478
"120" "37E" "37E_3" "3" 0.41 48 0.41
"121" "37E_20D" "37E_20D_1" "1" 0.008 0 0.008
"122" "37E_20D" "37E_20D_1" "1" 0.223 12 0.223
"123" "37E_20D" "37E_20D_1" "1" 0.38 24 0.38
