well_ID sampleID Plate OD Timepoint HoursElapsed
B7 54D_Bd 4 0.136 T0 0
B8 54D_Bd 4 0.134 T0 0
B9 54D_20D 4 0.135 T0 0
B10 54D_20D 4 0.134 T0 0
B11 54D_20D_Bd 4 0.136 T0 0
B12 54D_20D_Bd 4 0.143 T0 0
C1 37E_JlivBTP 4 0.133 T0 0
C2 37E_JlivBTP 4 0.124 T0 0
C3 37E_JlivBTP_Bd 4 0.127 T0 0
C4 37E_JlivBTP_Bd 4 0.126 T0 0
C5 54D 4 0.135 T0 0
C6 54D 4 0.127 T0 0
C7 54D_Bd 4 0.139 T0 0
C8 54D_Bd 4 0.134 T0 0
C9 54D_20D 4 0.133 T0 0
C10 54D_20D 4 0.133 T0 0
C11 54D_20D_Bd 4 0.141 T0 0
C12 54D_20D_Bd 4 0.146 T0 0
D1 37E_JlivBTP 4 0.122 T0 0
D2 37E_JlivBTP 4 0.121 T0 0
D3 37E_JlivBTP_Bd 4 0.124 T0 0
D4 37E_JlivBTP_Bd 4 0.125 T0 0
D5 54D 4 0.126 T0 0
D6 54D 4 0.129 T0 0
D7 54D_Bd 4 0.129 T0 0
D8 54D_Bd 4 0.129 T0 0
D9 54D_20D 4 0.132 T0 0
D10 54D_20D 4 0.13 T0 0
D11 54D_20D_Bd 4 0.136 T0 0
D12 54D_20D_Bd 4 0.134 T0 0
E1 37E_JlivBTP 4 0.123 T0 0
E2 37E_JlivBTP 4 0.126 T0 0
E3 37E_JlivBTP_Bd 4 0.127 T0 0
E4 37E_JlivBTP_Bd 4 0.127 T0 0
E5 54D 4 0.125 T0 0
E6 54D 4 0.127 T0 0
E7 54D_Bd 4 0.13 T0 0
E8 54D_Bd 4 0.133 T0 0
E9 54D_20D 4 0.132 T0 0
E10 54D_20D 4 0.129 T0 0
E11 54D_20D_Bd 4 0.135 T0 0
E12 54D_20D_Bd 4 0.135 T0 0
F1 54D_2F 4 0.131 T0 0
F2 54D_2F 4 0.131 T0 0
F3 54D_2F 4 0.132 T0 0
F4 54D_2F 4 0.159 T0 0
F5 54D_2F 4 0.131 T0 0
F6 54D_2F 4 0.148 T0 0
F7 54D_2F 4 0.133 T0 0
F8 54D_2F 4 0.132 T0 0
F9 54D_2F 4 0.137 T0 0
F10 54D_2F 4 0.137 T0 0
F11 SterileMedium 4 0.147 T0 0
F12 SterileMedium 4 0.146 T0 0
G1 54D_2F_Bd 4 0.138 T0 0
G2 54D_2F_Bd 4 0.139 T0 0
G3 54D_2F_Bd 4 0.139 T0 0
G4 54D_2F_Bd 4 0.141 T0 0
G5 54D_2F_Bd 4 0.141 T0 0
G6 54D_2F_Bd 4 0.147 T0 0
G7 54D_2F_Bd 4 0.15 T0 0
G8 54D_2F_Bd 4 0.146 T0 0
G9 54D_2F_Bd 4 0.15 T0 0
G10 54D_2F_Bd 4 0.149 T0 0
H1 JlivBTP 4 0.077 T0 0
H2 JlivBTP 4 0.08 T0 0
H3 JlivBTP 4 0.079 T0 0
H4 JlivBTP 4 0.081 T0 0
H5 JlivBTP 4 0.083 T0 0
H6 JlivBTP 4 0.08 T0 0
H7 JlivBTP 4 0.082 T0 0
H8 JlivBTP 4 0.082 T0 0
H9 JlivBTP 4 0.082 T0 0
H10 JlivBTP 4 0.081 T0 0
H11 Live_Bd 4 0.134 T0 0
H12 Live_Bd 4 0.137 T0 0
A1 54D_Jliv10 5 0.118 T0 0
A2 54D_Jliv10 5 0.107 T0 0
A3 54D_Jliv10_Bd 5 0.126 T0 0
A4 54D_Jliv10_Bd 5 0.126 T0 0
A5 54D_JlivBTP 5 0.12 T0 0
A6 54D_JlivBTP 5 0.124 T0 0
